CountryName,CurrencyName,CurrencyCode,UnitsPerUSD
Afghanistan,afghani,AFA,57478.26
Afghanistan,afghani,AFN,57.47826
Albania,lek,ALL,102.6093
Algeria,dinar,DZD,78.61605
American Samoa,dollar,USD,1.0
Andorra,euro,EUR,0.734194
Andorra,franc,FRF,4.815997
Andorra,peseta,ADP,122.1596
Andorra,peseta,ESP,122.1596
Angola,kwanza,AOA,97.59145
Angola,kwanza,AOK,76.5
Anguilla,dollar,XCD,2.701409
Antigua & Barbuda,dollar,XCD,2.701409
Antilles,guilder,ANG,1.79
Argentina,peso,ARS,8.076632
Armenia,dram,AMD,413.1083
Aruba,florin,AWG,1.7897
Australia,dollar,AUD,1.075077
Austria,euro,EUR,0.734194
Austria,schilling,ATS,10.10273
Azerbaijan,manat,AZM,3920.83
Azerbaijan,manat,AZN,0.784166
Bahamas,dollar,BSD,1.0
Bahrain,dinar,BHD,0.376
Bangladesh,taka,BDT,77.29157
Barbados,dollar,BBD,2.005
Belarus,ruble,BYB,10057730.0
Belarus,ruble,BYR,10057.73
Belgium,euro,EUR,0.734194
Belgium,franc,BEF,29.61731
Belize,dollar,BZD,1.95
Benin,franc,XOF,530.0
Bermuda,dollar,BMD,1.0
Bhutan,ngultrum,BTN,59.31199
Bhutan,rupee,INR,59.09923
Bolivia,boliviano,BOB,6.510799
Bosnia & Herzegovina,marks,BAM,1.436818
Botswana,pula,BWP,8.665022
Bouvet Isl.,krone,NOK,5.977529
Br. Indian Ocean Terr.,dollar,USD,1.0
Brazil,real,BRL,2.232708
Brunei Darussalam,dollar,BND,1.254372
Bulgaria,lev,BGL,1428.521
Bulgaria,lev,BGN,1.428521
Burkina Faso,franc,XOF,530.0
Burundi,franc,BIF,1554.122
Cambodia,riel,KHR,4002.733
Cameroon,franc,XAF,481.6092
Canada,dollar,CAD,1.084965
Cape Verde,escudo,CVE,74.30043
Cayman Isl.,dollar,KYD,0.81083
Central African Rep.,franc,XAF,481.6092
Chad,franc,XAF,481.6092
Chile,peso,CLP,548.9329
China,yuan,CNY,6.246241
Christmas Isl.,dollar,AUD,1.075077
Cocos/Keeling Isl.,dollar,AUD,1.075077
Colombia,peso,COP,1901.204
Comoros,franc,KMF,361.1941
Congo,franc,XAF,481.6092
Cook Isl.,dollar,NZD,1.178727
Costa Rica,colon,CRC,550.3373
Cote D'Ivoire,franc,XOF,530.0
Croatia,kuna,HRK,5.56676
Cuba,peso,CUP,1.0
Cyprus,euro,EUR,0.734194
Cyprus,pound,CYP,0.429705
Czech Rep.,koruna,CZK,20.17008
Denmark,krone,DKK,5.445113
Djibouti,franc,DJF,178.75
Dominica,dollar,XCD,2.701409
Dominican Rep.,peso,DOP,43.14219
East Timor,rupiah,IDR,11695.67
Ecuador,dollar,USD,1.0
Ecuador,sucre,ECS,25000.0
Egypt,pound,EGP,7.151334
El Salvador,colon,SVC,8.74999
Eq. Guinea,franc,XAF,481.6092
Eritrea,nakfa,ERN,15.0
Estonia,kroon,EEK,11.45563
Ethiopia,birr,ETB,19.51926
European Union,euro,EUR,0.734194
Falkland Isl.,pound,FKP,0.597321
Faroe Isl.,krone,DKK,5.445113
Fiji,dollar,FJD,1.841625
Finland,euro,EUR,0.734194
Finland,markka,FIM,4.365327
Fr. Guiana,euro,EUR,0.734194
Fr. Guiana,franc,FRF,4.815997
Fr. Polynesia,franc,XPF,87.6121
Fr. South. Terr.,euro,EUR,0.734194
Fr. South. Terr.,franc,FRF,4.815997
France,euro,EUR,0.734194
France,franc,FRF,4.815997
Gabon,franc,XAF,481.6092
Gambia,dalasi,GMD,39.87956
Georgia,lari,GEL,1.760617
Germany,euro,EUR,0.734194
Germany,mark,DEM,1.435959
Ghana,cedi,GHC,30352.02
Ghana,cedi,GHS,3.035202
Gibraltar,pound,GIP,0.597321
Greece,drachma,GRD,250.1766
Greece,euro,EUR,0.734194
Greenland,krone,DKK,5.445113
Grenada,dollar,XCD,2.701409
Guadeloupe,euro,EUR,0.734194
Guadeloupe,franc,FRF,4.815997
Guam,dollar,USD,1.0
Guatemala,quetzal,GTQ,7.811872
Guinea,franc,GNF,7042.972
Guinea-Bissau,franc,XOF,530.0
Guyana,dollar,GYD,205.5976
Haiti,dollar,USD,1.0
Haiti,gourde,HTG,45.55261
Heard & Mcdonald Isl.,dollar,AUD,1.075077
Honduras,lempira,HNL,20.74509
Hong Kong,dollar,HKD,7.753263
Hungary,forint,HUF,222.3337
Iceland,krona,ISK,113.0612
India,rupee,INR,59.09923
Indonesia,rupiah,IDR,11695.67
Iran,rial,IRR,25447.29
Ireland,euro,EUR,0.734194
Ireland,pound,IEP,0.578225
Israel,sheqel,ILS,3.474161
Italy,euro,EUR,0.734194
Italy,lira,ITL,1421.598
Jamaica,dollar,JMD,110.8793
Japan,yen,JPY,101.6989
Jordan,dinar,JOD,0.708547
Kazakhstan,tenge,KZT,183.6469
Kenya,shilling,KES,87.82954
Kiribati,dollar,AUD,1.075077
Korea (South),won,KRW,1020.853
Kuwait,dinar,KWD,0.282019
Kyrgyzstan,som,KGS,52.31369
Lao,kip,LAK,8047.188
Latvia,lats,LVL,0.516451
Lebanon,pound,LBP,1511.08
Lesotho,loti,LSL,10.5085
Lesotho,rand,ZAR,10.53085
Liberia,dollar,LRD,1.0
Libya,dinar,LYD,1.250962
Liechtenstein,franc,CHF,0.895981
Lithuania,litas,LTL,2.535328
Luxembourg,euro,EUR,0.734194
Luxembourg,franc,LUF,29.61731
Macau,pataca,MOP,7.98575
Madagascar,franc,MGA,2370.623
Madagascar,franc,MGF,11853.11
Malawi,kwacha,MWK,395.257
Malaysia,ringgit,MYR,3.215318
Maldives,rufiyaa,MVR,15.17606
Mali,franc,XOF,530.0
Malta,euro,EUR,0.734194
Malta,lira,MTL,0.315189
Marshall Isl.,dollar,USD,1.0
Martinique,euro,EUR,0.734194
Martinique,franc,FRF,4.815997
Mauritania,ouguiya,MRO,294.6899
Mauritius,rupee,MUR,30.28663
Mexico,peso,MXN,12.85568
Micronesia,dollar,USD,1.0
Moldova,leu,MDL,13.82285
Monaco,euro,EUR,0.734194
Monaco,franc,FRF,4.815997
Mongolia,tugrik,MNT,1819.09
Montserrat,dollar,XCD,2.701409
Morocco,dirham,MAD,8.236168
Mozambique,metical,MZM,31330.65
Mozambique,metical,MZN,31.33065
Myanmar,kyat,MMK,968.3196
Namibia,dollar,NAD,10.53085
Namibia,rand,ZAR,10.53085
Nauru,dollar,AUD,1.075077
Nepal,rupee,NPR,94.20671
Netherlands,euro,EUR,0.734194
Netherlands,guilder,ANG,1.79
Netherlands,guilder,NLG,1.617951
Netherlands Antilles,guildar,ANG,1.79
New Caledonia,franc,XPF,87.6121
New Zealand,dollar,NZD,1.178727
Nicaragua,oro,NIO,25.8841
Niger,franc,XOF,530.0
Nigeria,naira,NGN,162.5062
Niue,dollar,NZD,1.178727
Norfolk Isl.,dollar,AUD,1.075077
North Ireland,pound,GBP,0.597321
North. Mariana Isl.,dollar,USD,1.0
Norway,krone,NOK,5.977529
