# NOTE: north/east europe is missing!
# http://www.fxstreet.com/rates-charts/world-currency/
# Name	Last	Open	High	Low	Net chg.	Chg. %	Last Time	History
USD/JPY	80.5685	80.6100	80.6600	80.0050	-0.0405	-0.05	08:07:20	History
USD/AUD	0.9273	0.9298	0.9306	0.9271	-0.0023	-0.25	08:06:00	History
USD/NZD	1.1887	1.1893	1.1918	1.1880	-0.0018	-0.15	08:06:00	History
USD/KRW	1,124.5000	1,129.3500	1,130.5000	1,124.1500	-4.8500	-0.43	08:06:03	History
USD/SGD	1.2527	1.2559	1.2564	1.2522	-0.0031	-0.25	08:07:25	History
USD/THB	30.3750	30.4350	30.4800	30.3350	-0.0600	-0.20	08:07:18	History
USD/MYR	3.0090	3.0268	3.0272	3.0070	-0.0179	-0.59	08:06:26	History
USD/INR	49.1050	49.1705	49.2750	49.0900	-0.0600	-0.12	08:07:22	History
USD/HKD	7.7548	7.7556	7.7558	7.7545	-0.0008	-0.01	08:07:16	History
USD/IDR	9,137.5000	9,107.5000	9,182.5000	9,082.5000	17.5000	0.19	08:06:16	History
USD/VND	20,815.0000	20,835.0000	20,835.0000	20,815.0000	-20.0000	-0.10	07:58:22	History
USD/XPF	89.0000	89.0000	89.0000	89.0000	0.0000	0.00	07:58:23	History
USD/NPR	78.6500	78.7600	78.7600	78.6000	-0.1100	-0.14	08:06:32	History
USD/CNY	6.3010	6.3028	6.3060	6.2983	-0.0019	-0.03	08:06:03	History
USD/CNH	6.3030	6.3025	6.3030	6.3025	0.0000	0.00	07:58:18	History
USD/BDT	81.7000	81.7250	81.9500	81.7000	-0.0250	-0.03	08:06:32	History
USD/TWD	29.5720	29.5970	29.6020	29.5690	-0.0250	-0.08	08:06:03	History
USD/KHR	4,010.0000	4,010.0000	4,010.0000	4,010.0000	0.0000	0.00	07:58:19	History
USD/KPW	900.0000	900.0000	900.0000	900.0000	NaN	NaN	00:00:00	History
USD/LAK	7,957.5000	7,957.5000	7,957.5000	7,957.5000	0.0000	0.00	07:58:20	History
USD/MMK	6.5100	6.5100	6.5100	6.5100	0.0000	0.00	07:58:20	History
USD/MNT	1,325.5000	1,325.5000	1,325.5000	1,325.5000	0.0000	0.00	07:58:20	History
USD/MOP	7.9871	7.9871	7.9871	7.9871	0.0000	0.00	07:58:20	History
USD/VUV	89.9800	89.9800	89.9800	89.9800	0.0000	0.00	07:58:22	History
TOP/USD	0.5955	0.5955	0.5955	0.5955	0.0000	0.00	07:58:15	History
WST/USD	0.4470	0.4470	0.4470	0.4470	0.0000	0.00	07:58:23	History
USD/PHP	42.8100	43.0900	43.0900	42.7600	-0.2800	-0.65	08:03:11	History

USD/ARS	4.3515	4.3510	4.3545	4.3495	0.0020	0.05	08:08:08	History
USD/BOB	6.9100	6.9100	6.9100	6.9100	0.0000	0.00	07:58:17	History
USD/BRL	1.7087	1.7073	1.7119	1.7073	0.0014	0.08	08:08:08	History
USD/CLP	482.4500	482.4500	482.4500	482.4500	0.0000	0.00	07:58:18	History
USD/COP	1,780.5000	1,780.5000	1,780.5000	1,780.5000	0.0000	0.00	07:58:18	History
USD/GTQ	7.8300	7.8300	7.8300	7.8300	0.0000	0.00	07:58:19	History
USD/UYU	19.4000	19.4000	19.4000	19.4000	0.0000	0.00	07:58:22	History
USD/VEF	4.2927	4.2927	4.2927	4.2927	0.0000	0.00	07:58:22	History
USD/PEN	2.6795	2.6795	2.6795	2.6795	0.0000	0.00	07:58:21	History
USD/PYG	4,400.0000	4,400.0000	4,400.0000	4,400.0000	0.0000	0.00	07:58:21	History
USD/GYD	203.2000	203.2000	203.2000	203.2000	0.0000	0.00	07:58:19	History
USD/FKP	0.6312	0.6322	0.6322	0.6312	-0.0010	-0.16	07:58:18	History
USD/MVR	15.3500	15.3500	15.3500	15.3500	0.0000	0.00	07:58:20	History
USD/SHP	0.6312	0.6321	0.6321	0.6312	-0.0010	-0.16	07:58:21	History
USD/SRD	3.2750	3.2750	3.2750	3.2750	0.0000	0.00	07:58:22	History
USD/STD	18,300.0000	18,300.0000	18,300.0000	18,285.0000	0.0000	0.00	08:08:08	History
USD/SVC	8.7475	8.7475	8.7475	8.7475	0.0000	0.00	07:58:22	History

USD/BSD	1.0005	1.0005	1.0005	1.0005	0.0000	0.00	07:58:17	History
USD/BMD	1.0008	1.0008	1.0008	1.0008	NaN	NaN	11:02:03	History
USD/BZD	1.9698	1.9698	1.9698	1.9698	NaN	NaN	15:44:13	History
USD/CRC	512.7000	512.7000	512.7000	512.7000	0.0000	0.00	07:58:18	History
USD/CUP	1.0000	0.9999	1.0000	0.9999	NaN	NaN	03:19:01	History
USD/DOP	39.0000	39.0000	39.0000	39.0000	0.0000	0.00	07:58:18	History
USD/HNL	19.0800	19.0800	19.0800	19.0800	0.0000	0.00	07:58:19	History
USD/HTG	40.8500	40.8500	40.8500	40.8500	0.0000	0.00	07:58:19	History
USD/JMD	86.4500	86.4500	86.4500	86.4500	0.0000	0.00	07:58:19	History
USD/NIO	23.1550	23.1550	23.1550	23.1550	NaN	NaN	13:44:24	History
USD/PAB	1.0150	1.0150	1.0150	1.0150	NaN	NaN	00:20:21	History
USD/TTD	6.4000	6.4000	6.4000	6.4000	0.0000	0.00	07:58:22	History
USD/KYD	0.8108	0.8108	0.8108	0.8108	NaN	NaN	09:04:17	History
USD/XCD	2.6850	2.6850	2.6850	2.6850	NaN	NaN	11:02:08	History
USD/BBD	1.9750	1.9750	1.9750	1.9750	NaN	NaN	00:44:48	History
USD/AWG	1.7899	1.7899	1.7899	1.7899	0.0000	0.00	07:58:17	History

USD/GBP	0.6309	0.6320	0.6323	0.6309	-0.0011	-0.17	08:09:00	History
USD/SEK	6.5806	6.5964	6.6001	6.5686	-0.0159	-0.24	08:09:02	History
USD/CHF	0.8972	0.8994	0.9001	0.8960	-0.0022	-0.24	08:09:00	History
USD/NOK	5.5823	5.6060	5.6112	5.5748	-0.0239	-0.43	08:09:02	History
USD/ANG	1.7915	1.7915	1.7915	1.7915	0.0000	0.00	07:58:17	History
USD/GIP	0.6312	0.6321	0.6321	0.6312	-0.0010	-0.16	07:58:19	History

USD/AED	3.6732	3.6731	3.6732	3.6730	0.0001	0.00	08:08:08	History
USD/BHD	0.3769	0.3770	0.3770	0.3769	-0.0001	-0.03	07:58:17	History
USD/ILS	3.7908	3.7930	3.8015	3.7869	-0.0023	-0.06	08:12:46	History
USD/IRR	12,277.0000	12,277.0000	12,277.0000	12,277.0000	0.0000	0.00	07:58:19	History
USD/KWD	0.2772	0.2773	0.2773	0.2772	-0.0001	-0.02	08:08:08	History
USD/LBP	1,504.0000	1,505.5000	1,507.5000	1,503.5000	-1.5000	-0.10	08:08:09	History
USD/OMR	0.3851	0.3850	0.3851	0.3850	0.0001	0.02	07:58:21	History
USD/QAR	3.6417	3.6412	3.6420	3.6404	0.0006	0.02	08:08:08	History
USD/SAR	3.7504	3.7504	3.7504	3.7504	0.0000	0.00	08:08:09	History
USD/SYP	57.4500	57.4500	57.4500	57.4500	0.0000	0.00	07:58:22	History
USD/TRY	1.7641	1.7663	1.7717	1.7610	-0.0022	-0.12	08:12:47	History
USD/JOD	0.7105	0.7105	0.7110	0.7092	0.0000	0.00	08:08:08	History
USD/IQD	1,164.0000	1,164.0000	1,164.0000	1,164.0000	0.0000	0.00	07:58:19	History
USD/PKR	90.9500	90.9550	90.9750	90.8800	0.0700	0.08	08:12:28	History
USD/YER	218.5000	218.5000	218.5000	218.5000	0.0000	0.00	07:58:23	History
USD/AZN	0.7862	0.7863	0.7863	0.7862	-0.0001	-0.01	07:58:17	History
USD/MDL	11.7570	11.7570	11.7570	11.7570	0.0000	0.00	07:58:20	History
USD/BND	1.2600	1.2600	1.2600	1.2600	0.0000	0.00	07:58:17	History

U.S. Dollar - North Africa
Name	Last	Open	High	Low	Net chg.	Chg. %	Last Time	History
USD/CVE	83.7000	83.7000	83.7000	83.7000	0.0000	0.00	07:58:18	History
USD/DZD	74.3950	74.2450	75.5300	74.2450	-0.0550	-0.07	08:10:31	History
USD/EGP	6.0365	6.0365	6.0365	6.0365	0.0000	0.00	07:58:18	History
USD/ETB	17.5035	17.5035	17.5035	17.5035	0.0000	0.00	07:58:18	History
USD/MAD	8.3311	8.3503	8.3528	8.3202	-0.0166	-0.20	08:11:10	History
USD/MRO	294.0000	294.0000	294.0000	292.2500	0.0000	0.00	08:08:08	History
USD/NGN	157.6500	157.6500	157.7500	157.6200	0.0000	0.00	08:08:08	History
USD/SCR	14.4790	14.4790	14.4790	14.4790	0.0000	0.00	07:58:21	History
USD/SOS	1,629.0000	1,629.0000	1,629.0000	1,625.0000	0.0000	0.00	08:08:09	History
USD/TND	1.4901	1.4901	1.4932	1.4901	-0.0054	-0.36	08:08:09	History
